!Version=1,type=LEV,encoding=MBCS,,,
FILECONT, TITLE,,,,
3,1,,,,
UserSettings,U_VALUES,U_DATETIME,,,
UserSettingsValues,m AD,yyyy-mm-dd hh:mm,,,
G_START,G_TS,G_NPROFILES,G_DATATYPE,,
2020/03/31 00:00,600,5,0,,
L_NODEID,L_PIPELEVEL,L_PTITLE,,,
     OF1,0,,,,
     OF2,0,,,,
     OF3,0,,,,
     OF4,0,,,,
     OF5,0,,,,
P_DATETIME,1,2,3,4.0,5.0
2020-03-31 00:00:00,-0.1,-0.1,-0.1,-0.1,-0.1
2020-03-31 00:10:00,0.435,0.435,0.435,0.435,0.435
2020-03-31 00:20:00,0.475,0.475,0.475,0.475,0.475
2020-03-31 00:30:00,0.515,0.515,0.515,0.515,0.515
2020-03-31 00:40:00,0.56,0.56,0.56,0.56,0.56
2020-03-31 00:50:00,0.595,0.595,0.595,0.595,0.595
2020-03-31 01:00:00,0.635,0.635,0.635,0.635,0.635
2020-03-31 01:10:00,0.67,0.67,0.67,0.67,0.67
2020-03-31 01:20:00,0.7,0.7,0.7,0.7,0.7
2020-03-31 01:30:00,0.735,0.735,0.735,0.735,0.735
2020-03-31 01:40:00,0.76,0.76,0.76,0.76,0.76
2020-03-31 01:50:00,0.78,0.78,0.78,0.78,0.78
2020-03-31 02:00:00,0.8,0.8,0.8,0.8,0.8
2020-03-31 02:10:00,0.82,0.82,0.82,0.82,0.82
2020-03-31 02:20:00,0.85,0.85,0.85,0.85,0.85
2020-03-31 02:30:00,0.87,0.87,0.87,0.87,0.87
2020-03-31 02:40:00,0.89,0.89,0.89,0.89,0.89
2020-03-31 02:50:00,0.91,0.91,0.91,0.91,0.91
2020-03-31 03:00:00,0.93,0.93,0.93,0.93,0.93
2020-03-31 03:10:00,0.95,0.95,0.95,0.95,0.95
2020-03-31 03:20:00,0.97,0.97,0.97,0.97,0.97
2020-03-31 03:30:00,0.98,0.98,0.98,0.98,0.98
2020-03-31 03:40:00,1.0,1.0,1.0,1.0,1.0
2020-03-31 03:50:00,1.0099999999999998,1.0099999999999998,1.0099999999999998,1.0099999999999998,1.0099999999999998
2020-03-31 04:00:00,1.025,1.025,1.025,1.025,1.025
2020-03-31 04:10:00,1.035,1.035,1.035,1.035,1.035
2020-03-31 04:20:00,1.045,1.045,1.045,1.045,1.045
2020-03-31 04:30:00,1.045,1.045,1.045,1.045,1.045
2020-03-31 04:40:00,1.045,1.045,1.045,1.045,1.045
2020-03-31 04:50:00,1.0499999999999998,1.0499999999999998,1.0499999999999998,1.0499999999999998,1.0499999999999998
2020-03-31 05:00:00,1.04,1.04,1.04,1.04,1.04
2020-03-31 05:10:00,1.035,1.035,1.035,1.035,1.035
2020-03-31 05:20:00,1.02,1.02,1.02,1.02,1.02
