node_id,x,y
MH1,506443.3,2497010.2
MH10,506275.5,2497037.6
MH100,506151.2,2497068.9
MH101,506174.2,2497067.7
MH102,506200.8,2497068
MH103,506225.8,2497067.6
MH104,506250.8,2497067.2
MH105,506274.6,2497066.3
MH106,506301.1,2497066.3
MH107,506326,2497065.9
MH108,506351,2497065.3
MH109,506375.9,2497064.8
MH11,506250.3,2497037.9
MH110,506396.6,2497064.2
MH111,506412.3,2497064.4
MH112,506414.4,2497009
MH113,505620.6,2497560.5
MH114,505636.4,2497558.2
MH115,505656.9,2497562
MH116,505682.3,2497566.4
MH117,505707.3,2497571
MH118,505732.6,2497575.5
MH119,505757.6,2497580.2
MH12,506225.2,2497037.4
MH120,505782.8,2497584.8
MH121,505808.2,2497589.4
MH122,505833.3,2497594.2
MH123,505856.5,2497598.2
MH124,505880.4,2497601.9
MH125,505903.3,2497606.6
MH13,506200.6,2497037.7
MH132,506030.3,2497046.2
MH133,505751.7,2497085.7
MH134,505741,2497064.9
MH135,505714.9,2497046.5
MH136,506172.1,2497034.4
MH137,505764.3,2496989.3
MH138,505757,2497013.9
MH139,505620,2497577.5
MH14,506175.2,2497038.5
MH140,505595.5,2497576.5
MH141,505782.1,2496847.9
MH142,505798,2496847.9
MH15,506150.2,2497040
MH16,506150.4,2497029.1
MH17,506148.7,2496990.9
MH18,506125.3,2497040.5
MH19,506100.3,2497040.9
MH2,506442.3,2497034.2
MH20,506054.6,2497041.7
MH21,505952.5,2497044.7
MH22,505924.2,2497044.5
MH23,505900.1,2497044.8
MH24,505874.4,2497045.3
MH25,505847.8,2497046
MH26,505819.7,2497046.3
MH27,505796.9,2497046.8
MH28,505771.5,2497047.5
MH29,505721.3,2497051.5
MH3,506441.9,2497063.4
MH30,505727.5,2497031.6
MH31,505715.6,2497071.3
MH32,505687.1,2497053.5
MH33,505661.3,2497054
MH34,505635.2,2497054.5
MH35,505616.7,2497055.2
MH36,505734.9,2497006.8
MH37,505742.7,2496982.4
MH38,505755.3,2496959.2
MH39,505762.5,2496935.5
MH4,506412.8,2497033.9
MH40,505769.5,2496912.9
MH41,505780.1,2496914.6
MH42,505771.8,2496938.4
MH43,505765.4,2496964
MH44,505749,2497037.7
MH45,505734.1,2497088.4
MH46,505727.9,2497108.8
MH47,505721.8,2497129.4
MH48,505709,2497151.7
MH49,505701.9,2497175.9
MH5,506396.5,2497035.2
MH50,505694.7,2497199.9
MH51,505687.5,2497224.1
MH52,505680.2,2497248.3
MH53,505673.2,2497273
MH54,505667.3,2497296.9
MH55,505660.9,2497321.1
MH56,505654.6,2497345.7
MH57,505648.3,2497370.1
MH58,505642.1,2497394.6
MH59,505635.7,2497419.2
MH6,506373.3,2497035.9
MH60,505629.3,2497444.1
MH61,505623.2,2497468.5
MH62,505618.3,2497493.1
MH63,505617.6,2497510.2
MH64,505619.1,2497535.8
MH65,505597.8,2497556.9
MH66,505602.6,2497532.1
MH67,505606.6,2497506.8
MH68,505607.7,2497490.1
MH69,505612.6,2497465.4
MH7,506350.6,2497035.4
MH70,505619.1,2497440.7
MH71,505625.7,2497416.6
MH72,505631.4,2497391.8
MH73,505637.6,2497367.4
MH74,505643.9,2497342.6
MH75,505650,2497318.2
MH76,505656.4,2497293.9
MH77,505663.2,2497269.7
MH78,505670.1,2497245.5
MH79,505677.1,2497221.4
MH8,506325.8,2497036.1
MH80,505684,2497197.4
MH81,505691.1,2497172.5
MH82,505698.2,2497148.6
MH83,505700.6,2497119.6
MH84,505707.3,2497097.5
MH85,505687.9,2497072.5
MH86,505616.4,2497073.9
MH87,505635.9,2497073.5
MH88,505661.9,2497072.9
MH89,505795.5,2497075.5
MH9,506300.5,2497036.2
MH90,505823.7,2497075
MH91,505849.8,2497074.6
MH92,505873.8,2497074.9
MH93,505902.2,2497073.7
MH94,505928.3,2497073
MH95,505954.4,2497072.6
MH96,506060,2497070.5
MH97,506076.8,2497069.8
MH98,506101.4,2497068.9
MH99,506126,2497069.1
