Time,Seconds,MH10,MH103,MH117,MH121,MH19,MH28,MH3,MH30,MH44,MH45,MH50,MH52,MH60,MH63,MH74,MH84,MH89,MH96
2020/03/31 00:00:00,                   0,     0.67600,    -0.07512,     0.44325,     0.03230,     0.38770,    -0.44700,     0.13070,    -0.29716,    -0.77000,     0.13092,    -0.15720,    -0.30827,     0.15741,    -0.14603,     0.14739,     0.59400,    -0.28107,     0.26095
2020/03/31 00:10:00,                 600,     0.67600,    -0.07512,     0.44325,     0.03230,     0.38770,    -0.44700,     0.43496,    -0.29716,    -0.77000,     0.13092,    -0.15720,    -0.30827,     0.15741,    -0.14603,     0.14739,     0.59400,    -0.28107,     0.26095
2020/03/31 00:20:00,                1200,     0.67600,    -0.07512,     0.44325,     0.03230,     0.38770,    -0.44700,     0.47623,    -0.29716,    -0.77000,     0.13092,    -0.15720,    -0.30827,     0.15741,    -0.14603,     0.14739,     0.59400,    -0.28107,     0.46160
2020/03/31 00:30:00,                1800,     0.67600,    -0.07512,     0.44325,     0.03230,     0.38770,    -0.44700,     0.51545,    -0.29716,    -0.77000,     0.13092,    -0.15720,    -0.30827,     0.15741,    -0.14603,     0.14739,     0.59400,    -0.28107,     0.48308
2020/03/31 00:40:00,                2400,     0.67600,     0.29313,     0.44325,     0.03230,     0.38770,    -0.44700,     0.55997,    -0.29716,    -0.77000,     0.13092,    -0.15720,    -0.30827,     0.15741,    -0.14603,     0.14739,     0.59400,    -0.28107,     0.51110
2020/03/31 00:50:00,                3000,     0.67600,     0.58949,     0.44325,     0.03230,     0.38770,    -0.44700,     0.59555,    -0.29716,    -0.77000,     0.13092,    -0.15720,    -0.30827,     0.15741,    -0.14603,     0.14739,     0.59400,    -0.28107,     0.59308
2020/03/31 01:00:00,                3600,     0.67600,     0.63152,     0.44325,     0.03230,     0.38770,    -0.44700,     0.63517,    -0.29716,    -0.77000,     0.13092,    -0.15720,    -0.30827,     0.15741,    -0.14603,     0.14739,     0.59400,    -0.28107,     0.63385
2020/03/31 01:10:00,                4200,     0.67600,     0.66773,     0.44325,     0.03230,     0.38770,    -0.44700,     0.67024,    -0.29716,    -0.77000,     0.13092,    -0.15720,    -0.30827,     0.15741,    -0.14603,     0.14739,     0.59400,    -0.28107,     0.66933
2020/03/31 01:20:00,                4800,     0.67600,     0.69842,     0.44325,     0.03230,     0.38770,    -0.44700,     0.70026,    -0.29716,    -0.77000,     0.13092,    -0.15720,    -0.30827,     0.15741,    -0.14603,     0.14739,     0.59400,    -0.28107,     0.69962
2020/03/31 01:30:00,                5400,     0.67600,     0.73374,     0.44325,     0.03230,     0.38770,    -0.44700,     0.73520,    -0.29716,    -0.77000,     0.13092,    -0.15720,    -0.30827,     0.15741,    -0.14603,     0.14739,     0.59400,    -0.28107,     0.73474
2020/03/31 01:40:00,                6000,     0.67600,     0.75904,     0.44325,     0.03230,     0.38770,    -0.44700,     0.76019,    -0.29716,    -0.77000,     0.13092,    -0.15720,    -0.30827,     0.15741,    -0.14603,     0.14739,     0.59400,    -0.28107,     0.75984
2020/03/31 01:50:00,                6600,     0.67600,     0.77920,     0.44325,     0.03230,     0.38770,    -0.44700,     0.78019,    -0.29716,    -0.77000,     0.13092,    -0.15720,    -0.30827,     0.15741,    -0.14603,     0.14739,     0.59400,    -0.28107,     0.77989
2020/03/31 02:00:00,                7200,     0.67600,     0.79934,     0.44325,     0.03230,     0.38770,    -0.37829,     0.80017,    -0.29567,    -0.42959,     0.13092,    -0.15720,    -0.30827,     0.15741,    -0.14603,     0.14739,     0.59400,    -0.28107,     0.79993
2020/03/31 02:10:00,                7800,     0.67600,     0.81944,     0.44325,     0.03230,     0.38770,    -0.15342,     0.82015,    -0.20326,    -0.15826,     0.13466,    -0.15720,    -0.30827,     0.15741,    -0.14603,     0.14739,     0.59400,    -0.26998,     0.81995
2020/03/31 02:20:00,                8400,     0.67600,     0.84942,     0.44325,     0.03230,     0.38770,    -0.08143,     0.85011,    -0.07869,    -0.08765,     0.14704,    -0.15720,    -0.30827,     0.15741,    -0.14603,     0.14739,     0.59401,    -0.23090,     0.84995
2020/03/31 02:30:00,                9000,     0.67600,     0.86948,     0.44325,     0.03230,     0.38770,     0.13848,     0.87013,     0.13775,     0.13637,     0.20006,    -0.15720,    -0.30827,     0.15741,    -0.14603,     0.14739,     0.59412,     0.00253,     0.86997
2020/03/31 02:40:00,                9600,     0.67600,     0.88949,     0.44325,     0.03230,     0.38770,     0.32153,     0.89012,     0.32017,     0.31997,     0.31826,    -0.01211,    -0.19923,     0.15741,    -0.14603,     0.14739,     0.59527,     0.32033,     0.88997
